"999,""999"",""999"",""999"",""999"",""firstFullscreen"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""0"",""7382"",""0.0-0.0"",""8599403"""
"4796.24,""999"",""999"",""{""""Q0"""":""""F"""",""""Q1"""":""""22""""}"",""999"",""subdetails"",""999"",""999"",""999"",""999"",""999"",""survey-text"",""1"",""12182"",""0.0-1.0"",""8599403"""
"13927.4,""<p> Dans ce test, vous allez devoir accepter ou refuser diffÃ©rentes offres. Chaque offre sera composÃ©e d'un <strong> effort </strong> Ã  effectuer pour obtenir une <strong> rÃ©compense</strong>. On "",""999"",""999"",""32"",""instr"",""999"",""999"",NULL,""999"",NULL,""html-keyboard-response"",""2"",""26113"",""0.0-2.0"",""8599403"""
"1676.93,""<p> Entrainement </p><p> Appuyer sur la barre d'espace pour continuer. </p>"",""999"",""999"",""32"",""instr_pract"",""999"",""999"",""999"",""999"",""999"",""html-keyboard-response"",""3"",""27791"",""0.0-3.0"",""8599403"""
"999,""fixation_cross"",""999"",""999"",""999"",""fixation"",""999"",""999"",""999"",""999"",""999"",""html-keyboard-response"",""4"",""28293"",""0.0-4.0"",""8599403"""
"2267.25,""<p> J'accepte de </p>faire 5 pompes<p> pour </p>1 pain au chocolat.<p> </p>"",""0"",""999"",""999"",""quest_pract"",""0"",""faire 5 pompes"",""999"",""1 pain au chocolat."",""999"",""html-button-response"",""5"",""31063"",""0.0-5.0"",""8599403"""
"999,""999"",""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""6"",""31067"",""0.0-6.0"",""8599403"""
"999,""fixation_cross"",""999"",""999"",""999"",""fixation"",""999"",""999"",""999"",""999"",""999"",""html-keyboard-response"",""7"",""31567"",""0.0-7.0"",""8599403"""
"1953.16,""<p> J'accepte de </p>terminer un puzzle de 1000 piÃ¨ces<p> pour </p>1 dÃ©capsuleur.<p> </p>"",""1"",""999"",""999"",""quest_pract"",""1"",""terminer un puzzle de 1000 piÃ¨ces"",""999"",""1 dÃ©capsuleur."",""999"",""html-button-response"",""8"",""34023"",""0.0-8.0"",""8599403"""
"999,""999"",""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""9"",""34026"",""0.0-9.0"",""8599403"""
"999,""fixation_cross"",""999"",""999"",""999"",""fixation"",""999"",""999"",""999"",""999"",""999"",""html-keyboard-response"",""10"",""34527"",""0.0-10.0"",""8599403"""
"1922.69,""<p> J'accepte de </p>repasser 1 chemise<p> pour </p>1 casquette.<p> </p>"",""0"",""999"",""999"",""quest_pract"",""2"",""repasser 1 chemise"",""999"",""1 casquette."",""999"",""html-button-response"",""11"",""36952"",""0.0-11.0"",""8599403"""
