"999,""999"",""999"",""999"",""firstFullscreen"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""0"",""4234"",""0.0-0.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""1"",""4277"",""0.0-1.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide1.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""2"",""6553"",""0.0-2.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""3"",""6593"",""0.0-3.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide2.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""4"",""7539"",""0.0-4.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""5"",""7579"",""0.0-5.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide8.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""6"",""8364"",""0.0-6.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""7"",""8406"",""0.0-7.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide9.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""8"",""8973"",""0.0-8.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""9"",""9024"",""0.0-9.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide3.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""10"",""9619"",""0.0-10.0"",""2365186""";
"999,""999"",""999"",""999"",""fullscreenExp"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""fullscreen"",""11"",""9658"",""0.0-11.0"",""2365186""";
"999,""instructions/instructionsDiapo/Slide10.jpg"",""999"",""999"",""instr"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""image-keyboard-response"",""12"",""11143"",""0.0-12.0"",""2365186""";
"999,""fixation_cross"",""999"",""999"",""fixation"",""0"",""0"",""2"",""5"",""2"",""8"",""3"",""10"",""0"",""html-keyboard-response"",""13"",""11648"",""0.0-13.0"",""2365186""";
